2025-04-29 17:03:11 | INFO     | 🔴 Job: DOWN | Status: HTTPConnectionPool(host='127.0.0.1', port=8008): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10af1c850>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-29 17:03:11 | INFO     | 🔴 Job: ATTEMPTING_START | Status: Server is down, attempting to start
2025-04-29 17:03:11 | INFO     | 🔴 Job: STARTING | Status: Starting server in /Users/bsampera/Documents/projects/ai-backend
2025-04-29 17:03:13 | INFO     | 🟢 Job: STARTING | Status: SUCCESS
2025-04-29 17:03:18 | INFO     | 🟢 Job: UP | Status: SUCCESS
2025-04-29 17:03:18 | INFO     | 🟢 Job: STARTED | Status: SUCCESS
2025-04-29 17:03:18 | INFO     | 🔴 Job: STARTUP | Status: All services started successfully
2025-04-29 17:04:14 | INFO     | 🔴 Job: DOCKER | Status: Waiting for Docker daemon to become available...
2025-04-29 17:04:15 | INFO     | 🔴 Job: DOCKER | Status: Docker daemon not running: ERROR: Cannot connect to the Docker daemon at unix:///Users/bsampera/.docker/run/docker.sock. Is the docker daemon running?
errors pretty printing info

2025-04-29 17:04:15 | INFO     | 🔴 Job: DOCKER | Status: Attempt 1/30: Docker daemon not available yet, waiting 10 seconds...
2025-04-29 17:04:25 | INFO     | 🔴 Job: DOCKER | Status: Docker daemon is now available after 2 attempts
2025-04-29 17:04:25 | INFO     | 🔴 Job: DOCKER | Status: Container exists but not running, attempting to start
2025-04-29 17:04:27 | INFO     | 🔴 Job: DOCKER | Status: Container started successfully
2025-04-29 17:04:27 | INFO     | 🔴 Job: DOWN | Status: HTTPConnectionPool(host='127.0.0.1', port=8008): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10f6ef9d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-29 17:04:27 | INFO     | 🔴 Job: ATTEMPTING_START | Status: Server is down, attempting to start
2025-04-29 17:04:27 | INFO     | 🔴 Job: STARTING | Status: Starting server in /Users/bsampera/Documents/projects/ai-backend
2025-04-29 17:04:29 | INFO     | 🟢 Job: STARTING | Status: SUCCESS
2025-04-29 17:04:34 | INFO     | 🟢 Job: UP | Status: SUCCESS
2025-04-29 17:04:34 | INFO     | 🟢 Job: STARTED | Status: SUCCESS
2025-04-29 17:04:34 | INFO     | 🔴 Job: STARTUP | Status: All services started successfully
